165,1002,play,1/5/2025 8:10,desktop,US,sessQ1
157,1005,pause,1/5/2025 8:15,mobile,EU,sessQ2
143,1008,skip,1/5/2025 8:20,tablet,APAC,sessQ3
168,1001,forward,1/5/2025 8:26,desktop,US,sessQ4
154,1004,play,1/5/2025 8:31,mobile,EU,sessQ5
161,1007,pause,1/5/2025 8:36,tablet,APAC,sessQ6
149,1000,skip,1/5/2025 8:41,desktop,US,sessQ7
155,1003,forward,1/5/2025 8:47,mobile,EU,sessQ8
162,1006,play,1/5/2025 8:52,tablet,APAC,sessQ9
170,1009,pause,1/5/2025 8:57,desktop,US,sessQ10
158,1002,skip,1/5/2025 9:02,mobile,EU,sessQ1
149,1005,forward,1/5/2025 9:08,tablet,APAC,sessQ11
157,1008,play,1/5/2025 9:13,desktop,US,sessQ12
165,1001,pause,1/5/2025 9:18,mobile,EU,sessQ13
152,1004,skip,1/5/2025 9:23,tablet,APAC,sessQ14
160,1007,forward,1/5/2025 9:29,desktop,US,sessQ15
167,1000,play,1/5/2025 9:34,mobile,EU,sessQ16
173,1003,pause,1/5/2025 9:39,tablet,APAC,sessQ17
159,1006,skip,1/5/2025 9:44,desktop,US,sessQ18
148,1009,forward,1/5/2025 9:50,mobile,EU,sessQ19
