142,1003,play,1/9/2025 16:05,desktop,US,sessU1
156,1006,pause,1/9/2025 16:10,mobile,EU,sessU2
169,1009,skip,1/9/2025 16:16,tablet,APAC,sessU3
158,1002,forward,1/9/2025 16:21,desktop,US,sessU4
147,1005,play,1/9/2025 16:26,mobile,EU,sessU5
132,1008,pause,1/9/2025 16:32,tablet,APAC,sessU6
150,1001,skip,1/9/2025 16:37,desktop,US,sessU7
163,1004,forward,1/9/2025 16:42,mobile,EU,sessU8
157,1007,play,1/9/2025 16:48,tablet,APAC,sessU9
149,1000,pause,1/9/2025 16:53,desktop,US,sessU10
155,1003,skip,1/9/2025 16:58,mobile,EU,sessU1
160,1006,forward,1/9/2025 17:04,tablet,APAC,sessU11
148,1009,play,1/9/2025 17:09,desktop,US,sessU12
157,1002,pause,1/9/2025 17:14,mobile,EU,sessU13
162,1005,skip,1/9/2025 17:20,tablet,APAC,sessU14
149,1008,forward,1/9/2025 17:25,desktop,US,sessU15
141,1001,play,1/9/2025 17:30,mobile,EU,sessU16
155,1004,pause,1/9/2025 17:36,tablet,APAC,sessU17
160,1007,skip,1/9/2025 17:41,desktop,US,sessU18
168,1000,forward,1/9/2025 17:46,mobile,EU,sessU19
