142,1000,play,1/4/2025 11:05,desktop,US,sessP1
156,1003,pause,1/4/2025 11:10,mobile,EU,sessP2
173,1006,skip,1/4/2025 11:15,tablet,APAC,sessP3
138,1009,forward,1/4/2025 11:20,desktop,US,sessP4
150,1002,play,1/4/2025 11:25,mobile,EU,sessP5
164,1005,pause,1/4/2025 11:30,tablet,APAC,sessP6
158,1008,skip,1/4/2025 11:35,desktop,US,sessP7
147,1001,forward,1/4/2025 11:40,mobile,EU,sessP8
139,1004,play,1/4/2025 11:45,tablet,APAC,sessP9
121,1007,pause,1/4/2025 11:51,desktop,US,sessP10
130,1000,skip,1/4/2025 11:56,mobile,EU,sessP1
145,1003,forward,1/4/2025 12:01,tablet,APAC,sessP11
155,1006,play,1/4/2025 12:06,desktop,US,sessP12
165,1009,pause,1/4/2025 12:11,mobile,EU,sessP13
152,1002,skip,1/4/2025 12:17,tablet,APAC,sessP14
159,1005,forward,1/4/2025 12:22,desktop,US,sessP15
148,1008,play,1/4/2025 12:27,mobile,EU,sessP16
137,1001,pause,1/4/2025 12:32,tablet,APAC,sessP17
142,1004,skip,1/4/2025 12:37,desktop,US,sessP18
150,1007,forward,1/4/2025 12:43,mobile,EU,sessP19
